Date,close,P_E,P_B,Div_Yield,a10_y_GSEC,Yield_gap,EPS,MCAP_GDP,EPS_1YEARAGO,EPS_GROWTH_1,PEG_1,PEGY_1,EPS_3YEARAGO,EPS_GROWTH_3,PEG_3,PEGY_3,return_1,return_3,return-5,return_7,return_10
01-Jan-99,? 890.80,11.62,2.07,1.83,12.224,3.618148021,? 76.66,63,,,,,,,,,60.77%,18.47%,114.67%,218.36%,240.53%
04-Jan-99,? 897.80,11.72,2.08,1.81,12.225,3.692576792,? 76.60,63,,,,,,,,,60.64%,18.15%,116.76%,221.16%,239.36%
05-Jan-99,? 907.20,11.84,2.11,1.79,12.221,3.775054054,? 76.62,63,,,,,,,,,62.74%,18.19%,115.50%,220.15%,244.08%
06-Jan-99,? 928.25,12.11,2.16,1.75,12.218,3.960361685,? 76.65,63,,,,,,,,,59.49%,18.09%,107.56%,212.40%,235.34%
07-Jan-99,? 954.70,12.46,2.22,1.71,12.219,4.193317817,? 76.62,63,,,,,,,,,66.77%,15.24%,100.77%,205.23%,205.90%
08-Jan-99,? 990.05,12.92,2.3,1.64,12.219,4.47906192,? 76.63,63,,,,,,,,,65.52%,12.11%,98.83%,193.93%,190.19%
11-Jan-99,? 985.60,12.86,2.29,1.65,12.22,4.443950233,? 76.64,63,,,,,,,,,61.91%,11.89%,100.07%,191.27%,181.36%
12-Jan-99,? 964.45,12.59,2.24,1.69,12.22,4.277188245,? 76.60,63,,,,,,,,,67.72%,13.87%,101.73%,195.58%,184.61%
13-Jan-99,? 961.20,12.54,2.23,1.69,12.22,4.245518341,? 76.65,63,,,,,,,,,67.84%,13.25%,104.29%,196.56%,194.98%
14-Jan-99,? 954.75,12.46,2.22,1.7,12.234,4.208317817,? 76.63,63,,,,,,,,,71.03%,16.24%,107.61%,196.74%,186.64%
15-Jan-99,? 934.30,12.19,2.17,1.74,12.225,4.021554553,? 76.64,63,,,,,,,,,68.31%,17.11%,108.12%,202.80%,202.73%
18-Jan-99,? 944.90,12.33,2.19,1.72,12.218,4.107699919,? 76.63,63,,,,,,,,,71.95%,15.39%,101.15%,197.30%,201.22%
19-Jan-99,? 924.10,12.06,2.15,1.76,12.22,3.928126036,? 76.63,63,,,,,,,,,75.46%,20.03%,109.43%,210.66%,202.63%
21-Jan-99,? 967.20,12.84,2.29,1.65,12.219,4.430838006,? 75.33,63,,,,,,,,,67.78%,13.02%,95.75%,199.93%,179.79%
22-Jan-99,? 957.05,12.71,2.26,1.67,12.22,4.352179386,? 75.30,63,,,,,,,,,68.39%,14.03%,90.65%,201.35%,183.56%
25-Jan-99,? 949.80,12.61,2.24,1.68,12.219,4.288785884,? 75.32,63,,,,,,,,,69.16%,15.06%,86.41%,206.17%,182.01%
